filename	date	fastq_ftp	plant	is_enriched
SRR18341108_2.fastq.gz	2020-12-07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/008/SRR18341108/SRR18341108_2.fastq.gz	ESC	1
SRR18341113_1.fastq.gz	2020-12-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/013/SRR18341113/SRR18341113_1.fastq.gz	ESC	1
SRR18341113_2.fastq.gz	2020-12-14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/013/SRR18341113/SRR18341113_2.fastq.gz	ESC	1
SRR18341062_1.fastq.gz	2020-12-21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/062/SRR18341062/SRR18341062_1.fastq.gz	ESC	1
SRR18341062_2.fastq.gz	2020-12-21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/062/SRR18341062/SRR18341062_2.fastq.gz	ESC	1
SRR18341051_1.fastq.gz	2020-12-28	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/051/SRR18341051/SRR18341051_1.fastq.gz	ESC	1
SRR18341051_2.fastq.gz	2020-12-28	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/051/SRR18341051/SRR18341051_2.fastq.gz	ESC	1
SRR18340994_1.fastq.gz	2021-01-04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/094/SRR18340994/SRR18340994_1.fastq.gz	ESC	1
SRR18340994_2.fastq.gz	2021-01-04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/094/SRR18340994/SRR18340994_2.fastq.gz	ESC	1
SRR18341137_1.fastq.gz	2021-01-11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/037/SRR18341137/SRR18341137_1.fastq.gz	ESC	1
SRR18341137_2.fastq.gz	2021-01-11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/037/SRR18341137/SRR18341137_2.fastq.gz	ESC	1
SRR18341136_1.fastq.gz	2021-01-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/036/SRR18341136/SRR18341136_1.fastq.gz	ESC	1
SRR18341136_2.fastq.gz	2021-01-18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/036/SRR18341136/SRR18341136_2.fastq.gz	ESC	1
SRR18341005_1.fastq.gz	2021-01-25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/005/SRR18341005/SRR18341005_1.fastq.gz	ESC	1
SRR18341005_2.fastq.gz	2021-01-25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/005/SRR18341005/SRR18341005_2.fastq.gz	ESC	1
SRR18341007_1.fastq.gz	2021-02-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/007/SRR18341007/SRR18341007_1.fastq.gz	ESC	1
SRR18341007_2.fastq.gz	2021-02-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/007/SRR18341007/SRR18341007_2.fastq.gz	ESC	1
SRR18341097_1.fastq.gz	2021-02-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18341097/SRR18341097_1.fastq.gz	ESC	1
SRR18341097_2.fastq.gz	2021-02-15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18341097/SRR18341097_2.fastq.gz	ESC	1
SRR18341086_1.fastq.gz	2021-02-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/086/SRR18341086/SRR18341086_1.fastq.gz	ESC	1
SRR18341086_2.fastq.gz	2021-02-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/086/SRR18341086/SRR18341086_2.fastq.gz	ESC	1
SRR18341006_1.fastq.gz	2021-03-01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/006/SRR18341006/SRR18341006_1.fastq.gz	ESC	1
SRR18341006_2.fastq.gz	2021-03-01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/006/SRR18341006/SRR18341006_2.fastq.gz	ESC	1
SRR18341001_1.fastq.gz	2021-03-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/001/SRR18341001/SRR18341001_1.fastq.gz	ESC	1
SRR18341001_2.fastq.gz	2021-03-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/001/SRR18341001/SRR18341001_2.fastq.gz	ESC	1
SRR18341004_1.fastq.gz	2021-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/004/SRR18341004/SRR18341004_1.fastq.gz	ESC	1
SRR18341004_2.fastq.gz	2021-03-17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/004/SRR18341004/SRR18341004_2.fastq.gz	ESC	1
SRR18341003_1.fastq.gz	2021-03-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/003/SRR18341003/SRR18341003_1.fastq.gz	ESC	1
SRR18341003_2.fastq.gz	2021-03-22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/003/SRR18341003/SRR18341003_2.fastq.gz	ESC	1
SRR18341002_1.fastq.gz	2021-03-29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/002/SRR18341002/SRR18341002_1.fastq.gz	ESC	1
SRR18341002_2.fastq.gz	2021-03-29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/002/SRR18341002/SRR18341002_2.fastq.gz	ESC	1
SRR18340997_1.fastq.gz	2021-04-05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18340997/SRR18340997_1.fastq.gz	ESC	1
SRR18340997_2.fastq.gz	2021-04-05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18340997/SRR18340997_2.fastq.gz	ESC	1
SRR18341000_1.fastq.gz	2021-04-12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/000/SRR18341000/SRR18341000_1.fastq.gz	ESC	1
SRR18341000_2.fastq.gz	2021-04-12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/000/SRR18341000/SRR18341000_2.fastq.gz	ESC	1
SRR18340999_1.fastq.gz	2021-04-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/099/SRR18340999/SRR18340999_1.fastq.gz	ESC	1
SRR18340999_2.fastq.gz	2021-04-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/099/SRR18340999/SRR18340999_2.fastq.gz	ESC	1
SRR18340998_1.fastq.gz	2021-04-26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/098/SRR18340998/SRR18340998_1.fastq.gz	ESC	1
SRR18340998_2.fastq.gz	2021-04-26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/098/SRR18340998/SRR18340998_2.fastq.gz	ESC	1
SRR18340996_1.fastq.gz	2021-05-10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/096/SRR18340996/SRR18340996_1.fastq.gz	ESC	1
SRR18340996_2.fastq.gz	2021-05-10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/096/SRR18340996/SRR18340996_2.fastq.gz	ESC	1
SRR18340995_1.fastq.gz	2021-05-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/095/SRR18340995/SRR18340995_1.fastq.gz	ESC	1
SRR18340995_2.fastq.gz	2021-05-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/095/SRR18340995/SRR18340995_2.fastq.gz	ESC	1
